project,path,type,provenance,publication_status,role,alt_pt,alt_en,figma_node,notes,bytes
SUBITER,public/assets/projects/subiter/cover/cover-1920.webp,cover,editorial representation based on inspected Figma nodes,review,legacy cover (not active),"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Legacy unthemed editorial cover; not used by the current application and not approved as active publication evidence. Not a product screenshot.,42858
SUBITER,public/assets/projects/subiter/cover/light/cover-640.webp,cover,editorial representation based on inspected Figma nodes,publish,active light-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,10708
SUBITER,public/assets/projects/subiter/cover/light/cover-1024.webp,cover,editorial representation based on inspected Figma nodes,publish,active light-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,23056
SUBITER,public/assets/projects/subiter/cover/light/cover-1440.webp,cover,editorial representation based on inspected Figma nodes,publish,active light-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,39350
SUBITER,public/assets/projects/subiter/cover/light/cover-1920.webp,cover,editorial representation based on inspected Figma nodes,publish,active light-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,57372
SUBITER,public/assets/projects/subiter/cover/dark/cover-640.webp,cover,editorial representation based on inspected Figma nodes,publish,active dark-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,11644
SUBITER,public/assets/projects/subiter/cover/dark/cover-1024.webp,cover,editorial representation based on inspected Figma nodes,publish,active dark-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,23938
SUBITER,public/assets/projects/subiter/cover/dark/cover-1440.webp,cover,editorial representation based on inspected Figma nodes,publish,active dark-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,41316
SUBITER,public/assets/projects/subiter/cover/dark/cover-1920.webp,cover,editorial representation based on inspected Figma nodes,publish,active dark-theme project cover,"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Approved editorial representation for public use. Not an original or confidential product UI screenshot.,58882
SUBITER,public/assets/projects/subiter/editorial/inspection-map-1400.webp,editorial representation,created from confirmed case capabilities,publish,support visual,Representação editorial de mapa de inspeção e ativos solares.,Editorial representation of an inspection map and solar assets.,40001865:25556,Approved editorial representation for public use. Never present as original or confidential product UI.,27558
SUBITER,public/assets/projects/subiter/editorial/post-inspection-flow-1400.webp,editorial representation,created from confirmed case capabilities,publish,support visual,Representação editorial do fluxo de pós-inspeção em múltiplas etapas.,Editorial representation of a multi-step post-inspection flow.,40001865:25556,Approved editorial representation for public use. Never present as original or confidential product UI.,12748
SUBITER,public/assets/projects/subiter/editorial/ai-review-1400.webp,editorial representation,created from confirmed case capabilities,publish,support visual,Representação editorial de revisão assistida por IA no contexto de inspeções.,Editorial representation of AI-assisted review in an inspection context.,40001865:25556,Approved editorial representation for public use. Never present as original or confidential product UI.,19318
REDE DCC 1.0,public/assets/projects/rede-dcc/cover/cover-640.webp,cover,derived from existing DCC portfolio mockup,publish,project cover,"Sequência visual de estados de pagamento internacional em terminal, da escolha de moeda à aprovação.","Visual sequence of international payment terminal states, from currency choice to approval.",spQg44SAGDgNomAreop2MK / 18:2,"Use as curated case visual; case page should explain state depth, not imply every screen shown.",14434
REDE DCC 1.0,public/assets/projects/rede-dcc/cover/cover-1024.webp,cover,derived from existing DCC portfolio mockup,publish,project cover,"Sequência visual de estados de pagamento internacional em terminal, da escolha de moeda à aprovação.","Visual sequence of international payment terminal states, from currency choice to approval.",spQg44SAGDgNomAreop2MK / 18:2,"Use as curated case visual; case page should explain state depth, not imply every screen shown.",29404
REDE DCC 1.0,public/assets/projects/rede-dcc/cover/cover-1440.webp,cover,derived from existing DCC portfolio mockup,publish,project cover,"Sequência visual de estados de pagamento internacional em terminal, da escolha de moeda à aprovação.","Visual sequence of international payment terminal states, from currency choice to approval.",spQg44SAGDgNomAreop2MK / 18:2,"Use as curated case visual; case page should explain state depth, not imply every screen shown.",49238
REDE DCC 1.0,public/assets/projects/rede-dcc/cover/cover-1920.webp,cover,derived from existing DCC portfolio mockup,publish,project cover,"Sequência visual de estados de pagamento internacional em terminal, da escolha de moeda à aprovação.","Visual sequence of international payment terminal states, from currency choice to approval.",spQg44SAGDgNomAreop2MK / 18:2,"Use as curated case visual; case page should explain state depth, not imply every screen shown.",72426
REDE DCC 1.0,public/assets/projects/rede-dcc/evidence/currency-choice-800.webp,evidence,crop of existing DCC case mockup,publish,transaction state,Estado transacional do fluxo DCC: currency choice.,DCC transactional flow state: currency choice.,18:2,,24296
REDE DCC 1.0,public/assets/projects/rede-dcc/evidence/pin-entry-800.webp,evidence,crop of existing DCC case mockup,publish,transaction state,Estado transacional do fluxo DCC: pin entry.,DCC transactional flow state: pin entry.,18:2,,24954
REDE DCC 1.0,public/assets/projects/rede-dcc/evidence/processing-800.webp,evidence,crop of existing DCC case mockup,publish,transaction state,Estado transacional do fluxo DCC: processing.,DCC transactional flow state: processing.,18:2,,21568
REDE DCC 1.0,public/assets/projects/rede-dcc/evidence/approval-receipt-800.webp,evidence,crop of existing DCC case mockup,publish,transaction state,Estado transacional do fluxo DCC: approval receipt.,DCC transactional flow state: approval receipt.,18:2,,20214
DASA — Canal do Consultor,public/assets/projects/dasa-canal-do-consultor/cover/cover-640.webp,cover,confidentiality-safe editorial portfolio representation,publish,project cover,"Composição editorial do Discovery do Canal do Consultor com mapas, síntese e regras de negócio.","Editorial composition of the Canal do Consultor discovery work with maps, synthesis, and business rules.",,No final product interfaces are shown.,20028
DASA — Canal do Consultor,public/assets/projects/dasa-canal-do-consultor/cover/cover-1024.webp,cover,confidentiality-safe editorial portfolio representation,publish,project cover,"Composição editorial do Discovery do Canal do Consultor com mapas, síntese e regras de negócio.","Editorial composition of the Canal do Consultor discovery work with maps, synthesis, and business rules.",,No final product interfaces are shown.,44498
DASA — Canal do Consultor,public/assets/projects/dasa-canal-do-consultor/cover/cover-1440.webp,cover,confidentiality-safe editorial portfolio representation,publish,project cover,"Composição editorial do Discovery do Canal do Consultor com mapas, síntese e regras de negócio.","Editorial composition of the Canal do Consultor discovery work with maps, synthesis, and business rules.",,No final product interfaces are shown.,77780
DASA — Canal do Consultor,public/assets/projects/dasa-canal-do-consultor/cover/cover-1920.webp,cover,confidentiality-safe editorial portfolio representation,publish,project cover,"Composição editorial do Discovery do Canal do Consultor com mapas, síntese e regras de negócio.","Editorial composition of the Canal do Consultor discovery work with maps, synthesis, and business rules.",,No final product interfaces are shown.,125910
DASA — Canal do Consultor,public/assets/projects/dasa-canal-do-consultor/evidence/discovery-editorial-board-1536.webp,editorial board,existing confidentiality-safe portfolio infographic,publish,discovery evidence,"Painel editorial que sintetiza escala da pesquisa, ecossistema, regras, temas e conexão com Delivery.","Editorial board summarizing research scale, ecosystem, rules, themes, and the connection to Delivery.",,"Editorial reconstruction, not original product UI.",222546
ConnectCar / Freeflow,public/assets/projects/connectcar-freeflow/cover/cover-640.webp,cover,editorial representation based on responsive component evidence,review,selected-work cover,"Representação editorial de produto de mobilidade responsivo em desktop, tablet e mobile.","Editorial representation of a responsive mobility product across desktop, tablet, and mobile.",AN4W1ll29iWvvz4YQRX86K / 10:2594,Node 4005:3469 is benchmark/discovery and must not be presented as authored final solution.,5464
ConnectCar / Freeflow,public/assets/projects/connectcar-freeflow/cover/cover-1024.webp,cover,editorial representation based on responsive component evidence,review,selected-work cover,"Representação editorial de produto de mobilidade responsivo em desktop, tablet e mobile.","Editorial representation of a responsive mobility product across desktop, tablet, and mobile.",AN4W1ll29iWvvz4YQRX86K / 10:2594,Node 4005:3469 is benchmark/discovery and must not be presented as authored final solution.,10404
ConnectCar / Freeflow,public/assets/projects/connectcar-freeflow/cover/cover-1440.webp,cover,editorial representation based on responsive component evidence,review,selected-work cover,"Representação editorial de produto de mobilidade responsivo em desktop, tablet e mobile.","Editorial representation of a responsive mobility product across desktop, tablet, and mobile.",AN4W1ll29iWvvz4YQRX86K / 10:2594,Node 4005:3469 is benchmark/discovery and must not be presented as authored final solution.,17560
ConnectCar / Freeflow,public/assets/projects/connectcar-freeflow/cover/cover-1920.webp,cover,editorial representation based on responsive component evidence,review,selected-work cover,"Representação editorial de produto de mobilidade responsivo em desktop, tablet e mobile.","Editorial representation of a responsive mobility product across desktop, tablet, and mobile.",AN4W1ll29iWvvz4YQRX86K / 10:2594,Node 4005:3469 is benchmark/discovery and must not be presented as authored final solution.,29634
